Name,BattingAvg,BowlingAvg
Mitchell Santner,24.7,45.63
Colin de Grandhomme,35.5,33.08
Madan Lal,22.65,40.08
Karsan Ghavri,21.23,33.54
Kapil Dev,31.05,29.64
Dilip Doshi,4.6,30.71
Shivlal Yadav,14.39,35.09
Roger Binny,23.05,32.63
Ravi Shastri,35.79,40.96
Maninder Singh,3.8,37.36
Chetan Sharma,22,35.45
Manoj Prabhakar,32.65,37.3
Sachin Tendulkar,53.78,54.17
Venkatapathy Raju,10,30.72
Anil Kumble,17.77,29.65
Javagal Srinath,14.21,30.49
Rajesh Chauhan,7,39.51
Venkatesh Prasad,7.51,35
Sourav Ganguly,42.17,52.53
Harbhajan Singh,18.22,32.46
Ajit Agarkar,16.79,47.32
Zaheer Khan,11.95,32.94
Virender Sehwag,49.34,47.35
Irfan Pathan,31.57,32.26
Sreesanth,10.4,37.59
Ishant Sharma,8.25,32.18
Amit Mishra,21.6,35.72
Pragyan Ojha,8.9,30.26
Ravichandran Ashwin,27.68,24.56
Umesh Yadav,11.21,30.54
Ravindra Jadeja,35.44,24.41
Bhuvneshwar Kumar,22.08,26.09
Mohammed Shami,11.19,27.57
Jasprit Bumrah,2.26,23.21
Imran Khan,37.69,22.81
Wasim Raja,36.16,35.8
Sikander Bakht,6.34,36
Iqbal Qasim,13.07,28.11
Mudassar Nazar,38.09,38.36
Abdul Qadir,15.59,32.8
Tauseef Ahmed,17.66,31.72
Wasim Akram,22.64,23.62
Aaqib Javed,5.05,34.7
Waqar Younis,10.2,23.56
Mushtaq Ahmed,11.71,32.97
Aamer Sohail,35.28,41.96
Saqlain Mushtaq,14.48,29.83
Azhar Mahmood,30,35.94
Shoaib Akhtar,10.07,25.69
Shahid Afridi,36.51,35.6
Abdul Razzaq,28.61,36.94
Danish Kaneria,7.05,34.79
Mohammad Sami,11.59,52.74
Shoaib Malik,35.14,47.46
Mohammad Hafeez,37.64,34.11
Umar Gul,9.94,34.06
Mohammad Asif,5.64,24.36
Abdur Rehman,14.1,29.39
Mohammad Amir,13.41,30.47
Saeed Ajmal,11,28.1
Wahab Riaz,8.5,34.5
Junaid Khan,7.17,31.73
Rahat Ali,7.55,39.03
Yasir Shah,14.05,30.83
Mohammad Abbas,5.73,22.8
Ravi Ratnayeke,25.21,35.21
Rumesh Ratnayake,14.43,35.1
Aravinda de Silva,42.97,41.65
Asanka Gurusinha,38.92,34.05
Sanath Jayasuriya,40.07,34.34
Pramodya Wickramasinghe,9.4,41.87
Muttiah Muralitharan,11.67,22.72
Kumar Dharmasena,19.72,42.31
Ravindra Pushpakumara,8.73,38.65
Chaminda Vaas,24.32,29.58
Nuwan Zoysa,8.47,33.7
Rangana Herath,14.64,28.07
Tillakaratne Dilshan,40.98,43.87
Dilhara Fernando,8.3,37.84
Farveez Maharoof,18.53,65.24
Lasith Malinga,11.45,33.15
Nuwan Kulasekara,14.48,37.37
Chanaka Welegedara,9.08,41.32
Dhammika Prasad,12.86,35.97
Angelo Mathews,44.86,53.51
Suranga Lakmal,11.66,36.31
Nuwan Pradeep,4,42.9
Dilruwan Perera,18.88,35.9
Dhananjaya de Silva,38.18,60.04
Lahiru Kumara,3.46,38.28
Grant Flower,29.54,61.48
Heath Streak,22.35,28.14
Guy Whittall,29.42,40.94
Paul Strang,27.06,36.02
Henry Olonga,5.41,38.52
Bryan Strang,12.91,39.33
Ray Price,8.7,36.06
Mohammad Rafique,18.57,40.76
Mohammad Ashraful,24,60.52
Mashrafe Mortaza,12.85,41.52
Tapash Baisya,11.29,59.36
Shahadat Hossain,10.01,51.81
Shakib Al Hasan,39.69,31.2
Mahmudullah,31.77,45.32
Rubel Hossain,9.46,76.77
Taijul Islam,9.93,32.97
Mehidy Hasan Miraz,20.79,34.49
