Coupon,YTM,CurrentYield,RatingNum
5.53,4.843,5.3214,7
7.88,4.809,6.1481,8
6.47,5.625,7.0896,6
5.34,3.924,5.1799,9
4.59,3.329,3.8826,11
8.19,7.228,7.8501,8
6.04,3.802,4.7567,11
6.46,4.173,5.0124,9
4.49,3.379,3.9473,11
5.8,4.333,5.1837,8
5.17,4.077,4.8422,10
8.02,5.342,6.1864,11
5.56,4.659,5.643,8
3.5,2.811,3.1949,11
2.54,2.33,2.4699,10
6.86,5.604,5.6331,9
6.84,4.725,6.6667,8
6.25,5.172,5.5052,9
3.48,3.06,3.2216,11
2.79,2.345,2.6276,9
6.61,4.484,5.1552,11
4.01,3.758,3.8362,11
5.47,3.944,5.3533,8
6.05,4.659,6.9381,6
1.52,1.489,1.5152,9
7.03,4.738,6.6679,9
6.21,4.894,6.543,9
7.56,7.539,7.5934,7
5.91,3.85,5.053,8
8.36,5.159,7.73,6
2.53,2.346,2.4171,11
5.69,5.129,5.5307,7
5.65,3.646,4.6946,9
5.11,3.761,4.889,11
6.58,4.73,6.7877,8
6.77,5.522,6.1029,8
5.39,4.089,4.743,9
5.9,3.95,5.2194,8
1.06,1.012,1.0465,11
2.73,2.349,2.5412,9
6.54,4.092,5.7128,8
6.37,4.699,7.0582,8
1.37,1.295,1.3523,9
2.28,2.021,2.2138,10
4.7,3.33,4.0061,11
5.91,4.483,6.4895,9
6.92,5.451,6.7499,6
5.41,3.671,4.8093,10
6.92,4.442,6.3744,9
1.09,1.041,1.0774,11
5.16,3.997,4.0075,11
8.6,6.194,7.5492,8
5.08,2.493,4.676,9
5.66,4.205,5.2681,8
5.53,4.135,4.868,10
5.45,3.78,4.742,9
6.06,4.277,6.0874,10
7.49,5.513,7.6687,6
1.55,1.442,1.4749,11
6.73,6.256,7.3264,6
3,2.705,2.8441,11
5.87,4.207,4.7461,9
6.05,4.153,5.6648,8
6.93,4.157,5.6424,8
7.85,4.534,5.9682,9
7.21,5.83,7.5096,6
4.01,2.91,3.6891,10
1.41,1.312,1.3406,11
4.8,3.416,4.3096,8
7.03,4.047,5.5696,9
4.93,3.549,4.2347,11
2.25,2.098,2.1986,11
8.21,4.36,6.2362,11
4.97,3.706,4.0509,11
6.63,4.912,6.0954,8
8.89,4.364,6.1087,9
5.63,3.874,4.3435,11
5.58,3.911,4.0724,11
2.95,2.738,2.8311,9
8.56,5.181,7.7417,7
8.94,7.83,19.696,5
6.23,5.944,6.4815,9
4.55,3.139,3.8345,11
2.63,2.41,2.495,9
5.42,3.923,5.3106,8
1.82,1.688,1.7492,11
3.5,2.801,3.2923,8
5.9,4.034,5.5451,10
4.95,3.3,4.1065,9
7.67,6.533,6.913,7
7.59,4.7,5.9825,9
4.61,3.071,4.1716,11
9.36,6.39,7.9898,9
6.07,3.981,5.3908,10
5.09,3.499,4.34,11
6.47,4.388,5.973,8
5.34,4.049,5.0906,10
4.7,3.459,4.1946,11
6.87,5.1,7.3031,7
4.16,2.972,3.5828,11
3.14,2.519,2.8532,11
5.9,3.609,4.519,11
8.95,4.943,6.45,10
8.37,5.955,8.5382,6
5.3,4.261,4.4752,9
6.59,4.772,5.4377,9
5.45,3.719,4.8583,10
6.58,4.72,7.0814,6
7.29,4.892,6.4462,8
9.51,5.475,6.6253,8
5.89,3.828,4.3344,10
4.93,2.717,4.5304,10
5.04,4.278,5.7214,9
3.63,3.1,3.7801,10
6.1,4.007,5.4246,8
2.46,2.017,2.336,11
8.18,6.274,6.4931,8
6.01,4.343,5.7844,10
6.85,7.989,9.3515,6
5.28,4.664,5.2433,9
7.01,5.148,6.5052,8
3.38,2.807,3.2307,11
7.23,5.11,7.5628,6
6.07,3.807,5.0558,11
6.24,4.226,5.5496,8
8.8,4.995,8.016,6
1.26,1.188,1.2351,11
5.06,4.267,5.948,9
6.03,4.136,5.7516,9
7.47,4.744,7.1613,6
5.99,4.829,6.3649,8
2.98,2.82,3.091,6
6.08,4.138,5.4383,9
11.79,5.71,10.7338,5
4.51,3.606,4.1946,11
12.94,7.829,15.211,5
6.47,4.997,6.2313,5
1.16,0.923,1.131,11
7.6,5.843,8.6256,6
4.68,3.951,4.1328,8
5.83,4.356,5.6214,8
6.16,4.345,5.7212,8
9.19,4.475,6.6053,8
3.12,2.77,2.8514,11
8.19,4.117,5.2265,10
2.85,2.68,2.8347,6
7.69,9.76,12.3395,6
5.07,3.916,4.6931,10
3.03,2.678,3.0755,10
3.88,3.255,3.5486,9
7.26,5.335,5.607,9
4.28,3.351,3.9112,11
5.12,4.129,5.5592,9
5.09,3.815,4.947,6
7.68,5.025,6.1308,9
2.29,1.988,2.1551,11
1.39,1.308,1.3494,10
5.92,4.912,4.9656,8
3.93,1.812,3.6647,8
5.29,4.652,4.7619,10
4.1,2.994,3.7118,11
4.92,3.798,4.1561,10
6.74,3.956,4.7686,9
7.15,4.419,5.7444,8
6.1,4.518,6.4496,9
4.65,4.185,4.5477,10
8.86,6.611,7.5642,8
5.17,4.502,5.6596,8
5.31,3.277,4.0662,11
3.94,3.597,4.0677,9
6.01,4.312,5.7048,7
5.16,4.742,5.0723,7
4.96,4.02,4.5371,10
6.81,4.989,7.0482,6
6.58,4.237,6.0141,7
6.05,4.305,5.6824,10
9.71,5.434,8.2624,8
7.09,4.062,5.4093,9
7.26,5.558,7.1358,7
5.6,4.395,5.3156,9
4.17,3.233,3.6675,9
7.79,5.831,8.389,6
6.28,4.108,5.6848,8
6.38,3.823,5.0471,8
4.01,3.633,3.7212,9
5.35,3.833,4.6848,9
7.35,2.885,6.6739,8
2.87,2.519,2.7446,8
6.1,6.045,6.7011,9
4.67,3.742,4.4107,8
5.68,4.023,5.4568,10
6.45,4.129,5.3434,8
2.47,2.135,2.3065,11
7.96,5.765,7.3432,7
6.56,4.411,6.3278,7
4.07,3.136,3.6522,10
2.57,2.288,2.4032,11
4.18,3.144,3.831,8
3.87,3.04,3.3941,10
6.75,4.253,5.2362,9
5.55,4.121,5.1346,9
6.78,4.14,5.6665,8
6.17,5.668,5.8395,8
1.1,1.067,1.0877,10
4.66,3.577,4.519,9
7.28,4.629,6.8076,7
2.83,2.481,2.8289,9
4.62,3.423,4.1491,10
4.96,4.532,4.7392,10
6.99,5.636,7.1094,7
5.27,3.909,4.0891,11
5.3,4.456,4.5572,11
4.56,3.621,4.1331,11
5.24,4.47,4.6966,10
5.09,3.448,4.4245,11
6.08,4.62,6.0673,6
6.57,5.674,7.0562,6
5.88,4.02,5.5216,8
4.81,3.538,3.9739,11
5.18,3.922,4.1186,11
0.92,0.867,0.8942,10
6.97,5.279,5.4233,9
8.32,5.351,9.2661,6
11.34,6.342,13.9845,5
6.66,3.993,5.4639,8
5.54,4.639,4.773,10
5.99,4.454,6.5393,9
6.71,4.399,5.3186,9
5.45,5.245,5.3296,9
4.72,3.455,3.8402,11
6.33,5.462,6.0246,9
4.29,3.404,4.3527,9
7.55,5.784,6.8618,7
5.76,4.01,5.4774,9
5.86,4.716,5.6265,9
8.62,5.333,9.1878,5
5.87,4.215,6.2255,6
3.93,3.052,3.6843,9
5.37,3.894,5.0243,9
8.44,5.807,8.9454,5
6.26,5.316,5.9018,8
7.45,4.538,6.2981,8
6.27,4.734,7.1169,8
6.05,4.993,7.5531,8
6.45,6.487,8.7707,6
6.32,4.416,5.6138,10
6.92,4.118,6.0096,10
2.17,1.884,2.0368,11
6.76,3.996,4.809,9
5.76,4.246,5.1032,8
2.98,2.285,2.7729,10
2.31,2.022,2.1838,11
6.17,4.466,4.9081,9
4.04,3.263,3.8564,8
2.51,2.148,2.3828,8
0.89,0.719,0.8697,9
4.09,3.683,3.9821,11
5.8,3.599,5.174,9
2,1.767,1.8975,11
3.69,3.14,3.7862,8
7.72,4.865,5.2808,9
5.34,4.058,6.0613,6
3.05,2.365,2.6122,7
1.29,1.138,1.2535,11
4.82,3.819,4.2625,11
4.22,3.567,4.0275,9
4.59,4.025,4.5446,8
6.69,5.839,6.3927,8
7.04,5.948,6.5862,7
6.12,4.691,7.1014,6
5.09,4.003,5.1822,8
1.92,1.688,1.8038,11
3.7,2.959,3.5008,8
5.55,3.937,5.3105,10
9.66,6.072,11.6638,5
10.64,6.831,17.7097,5
3.86,3.127,3.4412,9
2.73,2.286,2.5173,9
0.56,0.351,0.5513,11
9.81,9.148,10.3372,5
7.19,3.898,5.1865,10
0.8,0.781,0.788,11
9.92,8.653,9.5559,6
6.32,4.628,5.0532,9
4.83,4.029,5.5005,9
5.96,5.285,7.4111,6
6.64,4.217,5.8358,8
5.26,3.408,4.2337,9
7.22,4.302,6.1197,8
8.44,5.41,7.6332,7
6.5,3.961,5.2833,9
7.35,4.616,6.932,7
5.81,4.754,4.816,10
7.03,4.906,7.8181,5
5.36,3.496,4.4592,11
4.83,4.205,4.4065,9
2.91,2.671,2.7743,11
6.24,4.664,6.969,6
6.1,2.638,5.4728,9
5.61,3.777,4.6614,11
1.86,1.703,1.8008,9
7.11,3.885,5.1004,8
3.84,2.823,3.5336,11
2.49,2.227,2.3611,10
2.42,2.095,2.3238,9
6.28,4.027,5.5316,9
2.4,2.169,2.2881,8
5,3.821,4.4131,11
5.16,3.451,4.3358,11
3.51,3.268,3.2995,11
9.24,5.679,6.153,9
10.69,7.363,15.8113,5
5.74,3.817,5.2593,9
8.55,5.337,7.8802,6
4.97,2.292,4.5785,9
7.12,5.097,7.49,7
3.97,2.919,3.4812,10
2.71,2.433,2.6199,9
6.4,4.114,5.4785,8
4.27,3.264,4.052,11
1.33,1.153,1.2833,11
4.73,3.268,3.9266,11
5.88,3.911,5.7942,6
5.52,3.824,4.8858,10
4.96,3.733,4.4952,9
2.92,2.6,2.6935,11
3.05,2.342,2.8285,11
5.74,4.275,5.8363,9
4.79,3.463,4.3153,9
5.47,4.12,5.2774,9
8.23,5.33,8.0948,7
6.08,3.815,5.093,8
3.22,2.991,3.0997,9
3.41,2.479,3.1336,11
5.05,4.25,4.8887,10
7.79,6.971,7.5346,7
6.97,7.567,7.6217,6
1.98,1.85,1.9575,11
5.28,4.164,5.7882,9
4.71,4.011,4.0239,11
5.63,3.985,5.3234,10
4.86,3.345,4.0933,11
9.46,5.488,9.0587,5
3.34,2.653,3.0963,9
4.91,3.955,4.3153,10
6.72,4.138,4.6316,11
4.23,3.486,4.2002,9
2.25,2.143,2.21,11
6.91,2.466,6.4441,7
5.63,4.557,5.5792,9
7.92,5.128,7.7991,7
6.14,5.226,6.326,8
6.48,3.644,4.749,8
2.35,2.314,2.3481,9
7.06,4.209,5.6775,8
6.7,4.934,7.557,8
6.22,5.397,7.1126,8
5.58,3.745,4.7176,9
3.25,2.519,2.9825,11
5.47,5.316,7.9195,5
6.77,4.313,5.7242,7
5.09,4.219,6.1592,6
5.92,4.423,4.8271,9
1.51,1.46,1.4653,11
6.1,4.629,6.7673,9
10.74,7.293,8.2685,8
7.06,4.744,5.9583,8
4.47,3.387,4.235,11
3.97,3.203,3.9171,9
5.22,3.347,4.1783,11
3.93,4.156,4.6105,8
0.92,0.878,0.9067,11
5.1,3.283,4.0154,11
3.82,3.234,3.4393,9
1.76,1.641,1.6732,11
8.29,4.828,7.568,8
4.97,3.679,4.3399,11
5.63,5.929,6.2912,9
6.8,6.261,13.1528,5
1.72,1.64,1.6723,11
6.46,4.574,6.5885,9
1.75,1.565,1.6692,11
4.26,3.226,4.0307,10
3.96,3.233,3.6872,8
6.85,4.99,5.9596,8
6.13,4.501,5.901,8
7.41,7.135,7.607,6
7.66,5.918,7.4074,7
6.01,4.151,5.7628,9
8.97,8.418,8.7223,6
9.91,6.313,10.3596,6
7.06,4.909,7.6382,6
3.54,3.235,3.3905,11
6.71,6.505,8.2717,7
6.13,5.047,5.9284,9
8.05,7.432,7.7628,7
5.11,3.463,4.1985,10
4.66,3.76,4.3389,11
1.9,1.742,1.8123,11
5.03,3.655,4.3516,11
4.07,3.066,3.5771,10
4.96,4.664,4.741,10
4.03,2.961,3.5178,11
7.72,4.808,5.8551,9
7.41,4.087,5.6196,8
6.02,3.852,5.0896,9
5.18,3.751,4.9546,9
4.97,4.514,4.5794,9
5.09,3.638,4.6109,11
1.6,1.569,1.5824,11
7.96,7.133,7.8703,6
7.96,4.821,7.2456,7
1.92,1.723,1.8472,9
2.41,2.044,2.2557,9
7.68,5.569,7.9216,7
6.79,4.197,4.916,9
7.59,5.833,7.7095,6
5.33,4.045,4.5524,9
3.77,3.09,3.3458,9
5.4,3.666,4.7724,8
4.41,3.599,4.212,8
6.63,4.614,6.9344,6
4.03,3.381,3.896,11
8.28,4.926,7.7586,6
1.72,1.65,1.6959,11
4.98,3.56,4.5676,11
6.2,3.949,4.9984,8
7.59,5.426,7.8555,6
5.28,4.481,5.0926,10
5.03,2.077,4.6041,11
5.59,3.944,5.2321,9
1.01,0.747,0.9767,11
5.09,3.062,4.6582,11
2.14,1.938,2.119,9
4.74,3.539,4.1484,9
5.37,3.834,4.3772,11
9.07,5.137,8.5542,7
3.57,3.259,3.4065,9
6.44,5.1,8.1861,6
1.65,1.545,1.5878,11
4.98,3.975,4.9356,9
4.65,3.138,3.8268,11
6.77,3.849,4.9301,9
8.95,5.178,8.6248,8
5.9,4.257,5.5871,9
5.9,4.48,5.2801,8
7.04,4.794,7.4695,6
6.12,4.342,5.1559,8
2.05,1.809,1.9557,11
6.91,3.848,4.9499,9
8.45,5.582,7.9522,7
7.53,5.143,6.2813,8
5.42,6.414,6.6536,8
2.07,1.961,2.015,11
5.47,1.836,5.0271,9
1.86,1.675,1.7869,10
5.77,4.817,7.3372,6
6.85,5.288,6.3274,7
3.11,2.479,2.8198,11
8.51,6.73,7.3622,8
4.96,3.392,4.4152,11
4.22,3.616,3.9454,11
6.79,4.778,6.2546,8
5.94,4.916,6.1023,9
7.85,6.048,7.3564,7
2.34,2.125,2.2098,10
8.78,5.311,5.9626,9
5.35,4.13,5.472,9
1.29,1.202,1.2478,10
5.55,4.383,6.1049,9
2.17,1.875,2.0381,11
6.03,4.378,6.0627,9
6.59,5.325,7.3582,6
6.67,4.068,5.5151,8
4.17,3.985,4.0173,11
6.02,4.567,6.6314,9
5.01,4.064,4.4017,11
5.93,4.629,5.5733,9
5.73,4.639,5.1271,8
1.25,1.178,1.2217,11
6.96,4.639,6.9337,5
6.42,3.884,5.162,9
4.83,3.512,4.5263,9
3.65,3.002,3.5382,11
7.16,4.261,5.5946,9
4.92,3.813,4.1404,11
4.67,3.238,4.0017,11
6.98,4.956,7.6889,6
4.45,2.338,4.1154,11
6.2,3.655,4.6796,9
5.8,5.792,7.0457,8
6.9,4.657,6.9,9
6.1,4.161,5.739,8
3.03,2.652,2.7939,11
7.55,4.731,7.2799,6
6.72,5.075,6.7153,6
4.98,3.638,4.5293,10
6.99,5.428,6.6502,9
5.33,4.664,4.7747,10
3.89,2.981,3.5296,9
8.24,4.685,6.4375,8
4.68,3.45,4.5126,9
5.63,5.102,6.9309,8
7.16,4.616,4.8408,11
1.29,1.241,1.2533,11
6.04,3.673,5.4302,9
5.81,3.834,4.8758,9
7.16,4.405,5.5933,8
8.2,8.404,9.5794,6
5.09,3.678,4.7874,8
7.79,7.376,11.0324,6
6.08,4.517,6.6865,9
4.17,3.617,3.803,10
5.09,3.692,4.5745,8
1.73,1.55,1.6651,11
8.31,5.316,7.9659,6
4.13,3.532,3.9439,7
2.08,2.126,2.3479,7
5.49,4.17,5.4131,9
4.6,3.325,4.0572,11
4.17,3.242,3.7717,10
3.62,2.905,3.2888,10
7.79,5.712,8.4335,6
5.79,4.45,6.0858,9
2.19,1.956,2.142,9
7.8,6.01,6.4752,9
6.86,5.205,7.4218,6
11.06,10.302,15.9045,5
7.64,7.505,7.5584,6
5.28,3.798,4.908,9
3.46,3.089,3.2666,9
5.68,3.889,4.8464,8
6.84,4.696,5.2863,8
6.7,3.894,5.197,9
6.31,5.055,7.3219,6
10.11,7.975,19.1007,5
5.37,4.05,5.1734,9
9.47,6.712,8.5454,6
3.7,2.897,3.4083,10
1.16,1.105,1.1328,11
4.47,3.807,4.0633,11
5.56,3.698,4.7123,8
6.22,4.258,6.0062,10
6.53,4.558,6.147,7
5.45,5.749,6.8304,8
5.78,3.919,5.2289,8
6.16,4.604,5.2921,8
3.94,3.098,3.5103,11
6.56,8.677,14.7648,4
5.87,5.208,7.1594,8
5.54,4.18,5.5807,8
6.76,5.857,6.1254,10
5.11,3.403,4.2488,10
8.56,7.098,9.8493,6
3.57,2.906,3.4509,11
3.07,2.602,2.897,11
5.85,3.711,4.856,9
6.44,3.772,4.8707,10
6.12,3.649,4.6793,9
5.33,3.662,4.7794,9
7.07,4.986,7.0397,7
8.3,5.524,9.5402,6
9.85,5.747,10.7803,7
5.47,4.292,6.0569,8
5.6,3.174,5.4253,8
6.84,5.648,6.8993,9
6.52,3.898,4.7984,9
8.75,5.978,8.6668,6
5.1,3.664,4.7446,10
8.59,5.512,8.3846,6
4.21,3.551,3.7792,9
5.82,3.942,5.3488,8
8.04,5.279,7.8256,7
5.05,3.846,4.109,11
8.26,6.027,8.3115,6
5.81,3.874,4.9396,9
2.31,1.981,2.1431,11
6.19,4.259,5.9946,9
6.15,4.728,7.0471,6
7.05,4.79,5.963,8
10.08,6.928,9.5817,6
5.55,4.253,5.2358,10
2.99,2.661,2.9438,10
3.38,3.014,3.1719,11
6.89,3.595,4.6136,11
8.95,5.432,6.5077,8
6.28,4.404,5.9918,7
4.79,3.359,4.2029,9
2.84,2.497,2.8194,10
5.3,3.811,5.0703,10
4.53,3.221,3.9796,9
4.59,3.527,4.0884,10
5.78,4.16,4.4827,9
4.96,4.28,4.9177,8
5.84,3.964,5.4069,9
2.34,1.46,2.2199,11
6.29,2.875,6.3819,5
5.41,4.209,4.7035,9
4.04,3.155,3.4148,11
5.08,3.553,4.6136,9
7.05,5.607,7.4619,6
7.06,5.673,7.2589,8
4.87,3.385,3.9755,11
5.89,4.65,6.1662,8
4.96,3.244,4.4223,11
2.55,2.115,2.3438,11
8.53,5.124,8.3268,6
5.35,4.063,4.3446,10
6.47,3.713,4.5499,9
3.84,3.416,4.2624,9
6.84,4.049,5.4598,9
5.45,4.612,4.8026,8
9.67,7.176,8.8246,6
5.29,4.152,4.669,11
4.21,3.958,4.0287,10
3.05,2.562,2.8236,11
6.88,3.648,4.5356,9
2.13,1.918,2.01,11
9.34,5.072,7.1227,8
8.75,5.683,10.5511,6
6.32,4.745,4.8559,9
0.42,0.14,0.4126,11
5.43,3.748,4.8473,8
4.78,3.454,4.3094,8
1.28,1.215,1.2529,11
7.09,4.867,7.694,6
6.84,4.366,6.3281,7
6.09,4.092,4.8665,8
5.42,3.514,4.502,9
5.72,5.477,5.5909,7
5.8,4.241,5.2978,8
8.03,6.795,7.5279,6
6.22,4.597,5.195,8
6.66,4.851,6.835,9
9.53,5.728,9.4217,6
5.09,4.553,5.3732,10
6.92,4.116,5.738,9
7.03,3.678,4.8111,11
8.29,4.593,5.4343,8
4.21,3.368,4.2134,9
4.14,3.564,4.2142,9
7.21,5.017,6.7611,7
4.34,3.158,3.7138,11
1.96,1.851,1.9244,9
5.86,3.85,4.9949,9
5.62,5.087,5.6054,9
5.48,3.585,4.6299,9
2.55,2.117,2.3535,11
7.98,5.675,7.2731,7
8.42,5.525,8.7191,6
2.51,2.316,2.3358,11
5.85,3.408,4.0423,11
0.58,0.544,0.5651,10
8.24,4.808,6.5752,8
2.99,2.615,2.9406,9
1.64,1.437,1.5952,9
4.7,3.795,4.6724,10
5.95,4.688,6.7361,6
4.68,3.415,4.3054,11
7.83,5.763,7.5122,6
2.85,2.304,2.6207,11
6.4,4.961,5.4343,8
3.6,3.345,3.4341,10
9.17,5.361,8.5845,5
5.72,4.264,5.9577,9
11.47,4.975,8.0305,8
5.9,3.613,4.6622,9
2.7,2.367,2.517,11
5.99,4.574,5.3761,8
5.62,5.242,5.441,9
3.77,3.31,3.5353,11
7.33,5.401,5.8551,8
8.86,5.098,7.898,7
6.28,4.185,5.6941,7
7.01,6.08,7.7561,6
6.02,6.138,6.3462,9
3.16,2.653,2.9017,9
5.36,3.653,4.6467,9
6.43,5.039,5.6527,8
5.55,3.642,4.6986,9
4.77,3.632,4.3113,8
4.9,3.342,3.766,11
8.32,5.316,7.8299,7
7.45,4.52,6.391,8
4.29,3.905,4.0293,11
6.12,5.381,6.5743,9
6.48,5.126,7.1444,6
8.08,4.995,8.0857,8
4.05,3.082,3.7372,10
5.8,4.731,6.8388,8
3.11,2.571,2.8353,11
