size,score,center,comparison,grit,bin
1.7814,1.2518,2.5528,-5.9491,very,A
0.9903,2.0877,1.8697,-10.5791,super,A
2.2574,-0.11,2.0822,-1.1723,ultra,C
-0.298,-1.6196,1.4225,-0.797,extra,C
-0.9201,-1.2339,-1.1513,1.9105,extra,B
-0.9338,-1.0209,-1.6187,0.4067,super,B
0.1921,0.8586,-2.6972,1.3277,extra,B
-1.6516,-2.8054,-3.5508,0.802,ultra,B
1.2238,-1.6198,-0.0014,-1.8271,extra,C
2.028,1.8277,-0.0026,-1.4619,very,A
1.6378,-1.3819,-1.7992,-2.0338,ultra,C
-0.8494,0.9453,1.7221,1.0876,extra,A
1.2753,-1.488,3.782,-1.6105,very,C
2.5748,-1.421,2.7164,-1.3496,very,C
1.4599,0.6331,1.7752,-1.7875,super,A
0.6585,2.0708,4.526,-5.7629,extra,A
-0.0676,1.6896,1.411,-4.3653,super,A
0.6934,-1.1984,1.3763,-1.9198,very,C
0.7668,2.5228,1.8235,0.4022,very,A
0.0001,-1.93,-2.8061,0.007,super,B
-0.5506,-1.8223,0.0792,1.1129,extra,B
-1.1319,-0.6499,-1.4379,-0.8543,extra,B
-0.4638,-1.9047,-1.2285,3.7873,ultra,B
0.681,1.1459,0.6383,1.9527,super,A
1.0251,0.3909,2.5498,-2.002,super,C
-1.9444,-1.2551,-2.4101,1.1202,ultra,B
1.1667,0.3754,-0.8383,-1.2688,super,C
1.1738,-1.7386,0.6835,-1.7938,super,C
-0.5773,-1.6291,-4.4026,-0.0799,extra,B
-0.9017,-3.1237,1.4287,0.9674,extra,B
-1.0308,-1.3826,-1.3938,1.5894,extra,B
-2.6702,-2.2038,-1.1407,1.1992,ultra,B
1.0472,-1.578,3.2359,-2.3604,extra,C
-0.2214,1.4063,0.5509,-3.3436,extra,A
5.292,1.8639,2.508,-0.8378,extra,A
1.2294,-0.6982,-2.7895,0.3736,ultra,B
1.8648,-1.3012,5.0246,-1.6635,ultra,C
-0.0885,0.6134,1.5238,2.929,super,A
-1,-1.273,-0.3395,0.013,super,B
-0.909,2.529,0.4229,-0.9271,super,A
1.8877,3.2105,2.7914,0.2393,very,A
-0.1383,-1.9047,-1.8454,1.2748,super,B
-3.3193,-0.6914,-2.3681,-0.7499,extra,B
0.9511,0.6174,1.0005,-1.8941,very,C
-0.1134,1.1883,1.98,-3.7693,extra,A
-0.6468,-2.4752,-0.1428,-1.984,very,C
-1.4204,2.5942,1.1521,2.9044,very,A
2.5565,1.6686,3.0391,-1.2673,extra,A
0.3868,1.4751,2.7015,-1.2146,super,A
-0.5284,-1.2539,-2.1666,-0.521,extra,B
-1.1472,-2.8359,-3.0633,-0.1407,extra,B
-0.5885,-1.2841,-5.0915,0.9201,extra,B
-0.0889,-1.4809,-2.9289,0.3428,super,B
2.4633,2.5905,1.4664,-1.5134,very,A
2.5687,0.488,-0.3299,-3.9977,extra,A
0.0504,1.8332,1.9835,-1.4283,super,C
0.5709,2.1525,2.9642,-2.6824,extra,A
-0.7677,-0.3513,-3.4651,0.9372,extra,B
-2.3218,-0.8356,-0.2159,1.5712,extra,B
-1.2781,0.1454,-2.2968,2.8089,super,B
1.9496,2.2062,0.2498,-0.029,extra,A
-0.1739,-0.6638,-0.8512,1.1017,extra,B
2.9379,0.731,1.7062,4.0706,very,A
1.5312,0.4323,4.5253,-1.5171,very,C
-0.9586,-1.5046,-0.6432,2.636,ultra,B
-0.6729,1.1778,-4.0974,1.9421,ultra,B
0.0205,-0.8864,-1.1354,0.3831,extra,B
-3.1924,-0.2153,-1.2554,0.2629,extra,B
2.0143,3.1227,1.1686,0.6294,very,A
-0.0752,-0.2523,-1.3276,1.4128,extra,B
2.0108,1.0084,0.6663,0.4765,extra,A
-0.5116,3.8282,3.0187,-4.7132,extra,A
2.2564,2.0742,1.9652,-2.53,super,A
1.4845,1.2493,-0.0518,-1.6173,extra,A
0.6413,-1.7518,2.2494,-1.0066,super,C
1.4156,1.1756,2.5201,4.3193,very,A
-1.7342,-2.2706,-2.4466,0.5749,extra,B
0.8455,-1.4244,4.4523,-1.3749,ultra,C
-0.6624,-0.6001,-2.4404,1.2495,super,B
-0.2231,1.5755,0.7429,-0.127,super,A
-0.3476,-1.5607,-1.301,1.4013,ultra,B
1.4508,2.0608,3.0984,2.9866,super,A
-0.717,1.2419,2.3914,-2.0137,super,A
1.046,2.9751,1.6651,-0.423,extra,A
0.8554,1.3721,0.8799,-1.7261,extra,A
-3.2584,-1.2919,-1.5475,-0.1187,super,B
2.9927,1.8614,2.0229,-4.2564,extra,A
0.9108,1.4592,2.0335,3.8287,very,A
0.0926,-2.2243,2.2691,-1.0014,super,C
-3.1638,2.1325,1.2855,-1.8667,very,A
1.3828,0.4557,-0.7791,-1.8725,super,C
2.0259,2.6283,2.282,1.6122,super,A
-2.9488,-0.4368,-2.0902,1.44,super,B
-0.4188,-1.8608,-3.0226,0.3914,ultra,B
-1.3728,-2.0149,-0.6696,0.0179,super,B
1.9413,-1.6109,0.8452,-1.378,extra,C
3.0042,3.0036,1.738,2.0017,very,A
0.2701,0.3449,0.8052,-1.8494,super,C
0.6039,0.0078,-0.5349,2.5163,extra,B
-0.1448,1.5284,1.8668,-1.6079,extra,A
-0.1021,-1.2883,-3.4872,-0.1667,extra,B
-0.323,-1.0867,-3.8767,1.8985,ultra,B
