FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,QCLabel
0.3009,0.4007,0.05,0.0685,0.1035,0.0986,0.0459,0.4501,0.4724,0.3713,0.3231,C
0.2743,0.3493,0.08,0.0685,0.1068,0.1972,0.0742,0.4868,0.4567,0.1257,0.1692,C
0.2743,0.3904,0.22,0.0685,0.1202,0.2394,0.311,0.4427,0.4488,0.0898,0.1692,D
0.3274,0.3801,0.26,0.0822,0.1202,0.1408,0.1307,0.5529,0.4488,0.1198,0.1231,E
0.4513,0.137,0.54,0.1096,0.1369,0.3803,0.2721,0.6116,0.4252,0.2934,0.1846,D
0.3717,0.1986,0.64,0.089,0.1352,0.1127,0.1272,0.6263,0.6299,0.1976,0.3231,D
0.3717,0.1986,0.64,0.089,0.1352,0.1127,0.1272,0.6263,0.6299,0.1976,0.3231,D
0.1947,0.4555,0,0.1027,0.1536,0.1831,0.0848,0.4794,0.6142,0.1317,0.3538,C
0.1858,0.4315,0.12,0.0753,0.1235,0.1549,0.2615,0.4207,0.5039,0.1138,0.2615,D
0.3274,0.3459,0.2,0.0411,0.1135,0.3662,0.3993,0.5235,0.3307,0.4731,0.1077,E
0.1416,0.226,0.2,0.0479,0.0952,0.0282,0.0318,0.4207,0.5276,0.1377,0.1231,D
0.2832,0.2123,0.7,0.0685,0.7546,0.2958,0.2155,0.5382,0.3071,0.5689,0.1538,D
0.2478,0.2603,0.47,0.0753,0.1235,0.2817,0.2367,0.5088,0.4882,0.1437,0.1077,D
0.1504,0.1233,0.48,0.0616,0.0952,0.2394,0.1943,0.428,0.5512,0.2695,0.2923,C
0.2035,0.2945,0.15,0.089,0.1068,0.2535,0.1201,0.4427,0.5276,0.1557,0.2615,D
0.354,0.2534,0.28,0.0685,0.1636,0.2676,0.4594,0.5235,0.1496,0.9701,0.2308,C
0.2743,0.2534,0.26,0.0685,0.0835,0.1127,0.0883,0.4794,0.5118,0.1856,0.1846,D
0.4159,0.1849,0.44,0.0822,0.1586,0.4648,0.4205,0.5675,0.315,0.5329,0.1692,D
0.2124,0.3425,0.08,0.0616,0.1068,0.0986,0.0636,0.5675,0.5827,0.1198,0.0923,D
0.292,0.274,0.26,0.0685,0.1119,0.5775,0.4735,0.4648,0.3858,0.1257,0.1692,D
0.354,0.2534,0.28,0.0685,0.1636,0.2676,0.4594,0.5235,0.1496,0.9701,0.2308,C
0.354,0.2534,0.29,0.0753,0.1636,0.2535,0.4488,0.5235,0.1496,0.988,0.2154,D
0.2743,0.2534,0.26,0.0685,0.0835,0.1127,0.0883,0.4794,0.5118,0.1856,0.1846,D
0.0354,0.6164,0.04,0.0342,0.0551,0.5634,0.2792,0.2739,0.7953,0.0898,0.3231,E
0.0088,0.3288,0.17,0.0959,0.0768,0.2254,0.3534,0.2298,0.874,0.1617,0.6923,C
0.1947,0.4486,0,0.1438,0.1503,0.0986,0.0601,0.4721,0.5591,0.1377,0.3538,D
0.2124,0.2603,0.25,0.0753,0.0968,0.0282,0.0565,0.4574,0.4016,0.1796,0.1231,D
0.2655,0.5342,0.06,0.1096,0.1119,0.0563,0.0141,0.4868,0.5118,0.1377,0.2154,D
0.3097,0.2911,0.18,0.0685,0.1135,0.169,0.1025,0.5235,0.4409,0.1557,0.0923,C
0.3274,0.3356,0.3,0.0822,0.1202,0.1408,0.1555,0.5235,0.5197,0.1677,0.2769,C
0.2832,0.2603,0.3,0.0685,0.1052,0.0986,0.0565,0.428,0.4488,0.1377,0.3077,C
0.3097,0.2911,0.18,0.0685,0.1135,0.169,0.1025,0.5235,0.4409,0.1557,0.0923,C
0.3097,0.3116,0.22,0.0822,0.1085,0.1549,0.2085,0.4868,0.4331,0.1078,0.1231,D
0.2301,0.2534,0.24,0.089,0.0968,0.0563,0.106,0.4354,0.4646,0.0898,0.1538,D
0.3097,0.3116,0.22,0.0822,0.1085,0.1549,0.2085,0.4868,0.4331,0.1078,0.1231,D
0.2832,0.1986,0.68,0.0548,0.7596,0.2394,0.2226,0.5308,0.2677,0.5868,0.1385,D
0.1416,0.3493,0.31,0.0548,0.1269,0.1972,0.2049,0.5015,0.5669,0.2754,0.1385,D
0.3009,0.1438,0.53,0.1096,0.1319,0.2394,0.2615,0.5529,0.4961,0.2814,0.1846,C
0.3097,0.4555,0.52,0.0753,0.1836,0.507,0.5194,0.5015,0.3701,0.2156,0.1385,D
0.2832,0.3014,0.19,0.0616,0.1536,0.1549,0.1449,0.4648,0.3543,0.3593,0.1692,D
0.3363,0.3425,0.09,0.089,0.1202,0.1408,0.3604,0.4648,0.3228,0.1976,0.2154,D
0.3363,0.3288,0.1,0.089,0.1219,0.1831,0.371,0.4648,0.3228,0.1976,0.2154,D
0.4867,0.1301,0.44,0.0959,0.1135,0.2958,0.1413,0.641,0.4567,0.2036,0.2,C
0.2832,0.3014,0.19,0.0616,0.1536,0.1549,0.1449,0.4648,0.3543,0.3593,0.1692,D
0.4248,0.1918,0.31,0.089,0.1302,0.169,0.1979,0.4794,0.2598,0.1796,0.3231,C
0.3274,0.2877,0.28,0.0685,0.1085,0.1408,0.1201,0.5675,0.5118,0.1677,0.2462,C
0.2832,0.3014,0.12,0.0753,0.1169,0.0845,0.0777,0.5088,0.4961,0.1018,0.1538,C
0.3717,0.2945,0.04,0.089,0.1786,0.1831,0.1767,0.4501,0.3701,0.1617,0.3846,C
0.2124,0.3904,0.08,0.0616,0.1419,0.2958,0.2933,0.428,0.4724,0.1257,0.1231,C
0.2389,0.6507,0.09,0.0548,0.2771,0.1268,0.2933,0.4501,0.4409,0.1437,0.0923,D
0.3717,0.2945,0.04,0.089,0.1786,0.1831,0.1767,0.4501,0.3701,0.1617,0.3846,C
0.2389,0.3938,0,0.1096,0.1052,0.0282,0.0247,0.5822,0.5906,0.1138,0.1231,D
0.3009,0.4041,0,0.1164,0.1135,0.1408,0.0989,0.5529,0.5512,0.1198,0.1692,D
0.2832,0.2603,0.17,0.0479,0.1169,0.2817,0.3392,0.4354,0.5118,0.0898,0.1692,D
0.3894,0.3425,0.04,0.0685,0.2237,0.3662,0.2968,0.6116,0.3307,0.2216,0.1538,D
0.3186,0.8288,0,0.0548,0.1152,0.0282,0.0212,0.4648,0.622,0.0958,0.3846,D
0.3097,0.8288,0,0.0616,0.1169,0.0282,0.0212,0.4648,0.6299,0.0898,0.3846,D
0.3009,0.3219,0.16,0.0616,0.0885,0.0282,0.0353,0.4501,0.5354,0.3533,0.3231,B
0.1327,0.1781,0.15,0.0616,0.1002,0.0704,0.0459,0.3987,0.5354,0.1437,0.1538,D
0.3009,0.4281,0.56,0.0753,0.177,0.4085,0.4523,0.4941,0.3937,0.1976,0.1538,D
0.0885,0.2603,0.09,0.0959,0.0618,0.2254,0.3286,0.2665,0.7008,0.1796,0.7077,D
0.0885,0.2603,0.09,0.0959,0.0618,0.2254,0.3286,0.2665,0.7008,0.1796,0.7077,D
0.177,0.2603,0.01,0.0411,0.0801,0.2254,0.0707,0.3767,0.5197,0.1497,0.2154,C
0.292,0.6301,0.05,0.089,0.1202,0.169,0.0813,0.428,0.378,0.1317,0.2308,C
0.3363,0.4281,0.11,0.0685,0.1302,0.2113,0.2014,0.4721,0.3543,0.2934,0.1846,D
0.3274,0.4075,0.15,0.0616,0.1285,0.1268,0.1625,0.4941,0.3858,0.2635,0.1692,D
0.2301,0.2021,0.36,0.0753,0.1152,0.169,0.1378,0.5235,0.5827,0.1856,0.1231,D
0.2832,0.3014,0.19,0.0822,0.1152,0.1972,0.3498,0.4501,0.4646,0.1257,0.1692,D
0.2832,0.3014,0.19,0.0753,0.1152,0.2254,0.3604,0.4501,0.4567,0.1257,0.1692,D
0.3363,0.4281,0.11,0.0685,0.1302,0.2113,0.2014,0.4721,0.3543,0.2934,0.1846,D
0.3274,0.4075,0.15,0.0616,0.1285,0.1268,0.1625,0.4941,0.3858,0.2635,0.1692,D
0.0531,0.1507,0,0.0616,0.0634,0.3662,0.2014,0.1123,0.7402,0.2754,0.8615,C
0.1504,0.1849,0.08,0.0548,0.0902,0.0282,0.0495,0.3913,0.4724,0.1497,0.1538,D
0.0531,0.1507,0,0.0616,0.0634,0.3662,0.2014,0.1123,0.7402,0.2754,0.8615,C
0.3097,0.3767,0.55,0.0616,0.1753,0.4366,0.477,0.4941,0.3386,0.1737,0.1538,D
0.1062,0.3836,0.02,0.0616,0.1252,0.2817,0.311,0.3179,0.6299,0.1138,0.2462,D
0.2655,0.2534,0.26,0.0479,0.374,0.1268,0.2898,0.4941,0.2913,0.2814,0.1385,D
0.2035,0.2534,0.1,0.0959,0.1035,0.1549,0.0848,0.428,0.5354,0.1497,0.2769,C
0.3186,0.1918,0.44,0.1301,0.1285,0.1408,0.1307,0.5455,0.622,0.1677,0.3231,C
0.2389,0.1438,0.47,0.0822,0.1085,0.0563,0.0177,0.4207,0.4646,0.1198,0.2923,C
0.4071,0.274,1,0.1712,0.9983,0.4366,0.2226,0.6997,0,1,0.1538,E
0.2566,0.3288,0.03,0.0616,0.1386,0.338,0.3286,0.362,0.4803,0.1257,0.2615,D
0.2566,0.3288,0.03,0.0616,0.1386,0.338,0.3286,0.362,0.4803,0.1257,0.2615,D
0.2212,0.2123,0.42,0.3151,0.0968,0.3944,0.4346,0.5308,0.5354,0.2335,0.3231,D
0.2212,0.2123,0.42,0.3151,0.0985,0.3803,0.4311,0.5308,0.5354,0.2275,0.3231,D
0.2212,0.2123,0.42,0.3151,0.0968,0.3944,0.4346,0.5308,0.5354,0.2335,0.3231,D
0.2212,0.2123,0.42,0.3151,0.0985,0.3803,0.4311,0.5308,0.5354,0.2275,0.3231,D
0.2212,0.3836,0,0.089,0.1018,0.1549,0.0565,0.5015,0.5827,0.1018,0.1385,D
0.1947,0.3288,0.18,0.0685,0.1119,0.2394,0.2827,0.4941,0.6693,0.1437,0.1385,C
0.2655,0.5685,0.03,0.0753,0.1302,0.0845,0.0495,0.428,0.3622,0.1377,0.1846,D
0.2655,0.3836,0.02,0.0274,0.1002,0.1127,0.0495,0.4721,0.3386,0.4491,0.1231,E
0.2832,0.2808,0.04,0.0548,0.1068,0.2254,0.0883,0.4648,0.4646,0.1377,0.2462,C
0.2478,0.3288,0.26,0.4384,0.0968,0.493,0.4064,0.5969,0.4961,0.0958,0.1538,D
0.2389,0.3219,0.26,0.4315,0.0968,0.4789,0.4064,0.5896,0.4961,0.0958,0.1538,D
0.2832,0.3493,0.48,0.0548,0.1469,0.1831,0.318,0.4427,0.3543,0.1737,0.1692,D
0.1947,0.3562,0.1,0.0822,0.1219,0.2394,0.3357,0.406,0.4724,0.1138,0.2769,D
0.2389,0.2945,0.03,0.0479,0.1002,0.2254,0.1272,0.406,0.4961,0.0898,0.0923,E
0.1947,0.3493,0.07,0.0822,0.1285,0.1408,0.1343,0.384,0.5748,0.1317,0.3077,C
0.2566,0.4007,0.24,0.0616,0.581,0.1972,0.2014,0.4648,0.2047,0.7545,0.1692,D
0.292,0.524,0.03,0.0616,0.0768,0.0423,0.0071,0.5235,0.4882,0,0.1077,E
0.3009,0.2055,0.17,0.0753,0.1018,0.0704,0.0424,0.5235,0.4331,0.1677,0.1231,C
0.3009,0.2055,0.17,0.0753,0.1018,0.0704,0.0424,0.5235,0.4331,0.1677,0.1231,C
0.2478,0.3425,0.05,0.0685,0.0935,0.3239,0.1272,0.4427,0.5354,0.1437,0.4769,C
0.2389,0.1781,0.21,0.0753,0.1135,0.0845,0.1025,0.4427,0.4646,0.0838,0.1692,D
0.2035,0.2603,0.04,0.0411,0.1219,0.2535,0.1519,0.4207,0.4803,0.2695,0.1692,D
0.2389,0.1781,0.21,0.0753,0.1135,0.0845,0.1025,0.4427,0.4646,0.0838,0.1692,D
0.2566,0.274,0.42,0.0959,0.1252,0.0986,0.1131,0.5235,0.6614,0.1677,0.3231,C
0.2124,0.4692,0,0.1096,0.0935,0.0845,0.0495,0.5015,0.5827,0.1377,0.1846,D
0.3717,0.3356,0.14,0.1027,0.0918,0.1268,0.1272,0.5015,0.3543,0.1557,0.1692,D
0.3717,0.3356,0.14,0.1027,0.0918,0.1268,0.1272,0.5015,0.3543,0.1557,0.1692,D
0.3805,0.3356,0.49,0.0753,0.4307,0.3099,0.3675,0.5235,0.2992,0.4132,0.1385,D
0.2301,0.4178,0.02,0.1096,0.1068,0.2113,0.1272,0.5235,0.5512,0.1138,0.1385,D
0.1947,0.3356,0.2,0.0616,0.1085,0.1408,0.2085,0.5162,0.6299,0.1497,0.1385,D
0.1858,0.3425,0.21,0.0685,0.1119,0.0986,0.1979,0.5088,0.6142,0.1497,0.1385,C
0.3805,0.1301,0.57,0.0753,0.1653,0.3521,0.2792,0.5162,0.4094,0.1198,0.2,D
0.2478,0.1849,0.48,0.0753,0.1169,0.1831,0.2155,0.5235,0.4724,0.1317,0.1231,D
0.2743,0.4007,0.1,0.1164,0.1202,0.1127,0.0707,0.5529,0.5118,0.0958,0.2,D
0.292,0.2603,0.33,0.0753,0.1202,0.1972,0.4841,0.4941,0.3622,0.1317,0.1692,D
0.292,0.2534,0.32,0.0685,0.1169,0.2254,0.4876,0.4941,0.3622,0.1317,0.1692,D
0.3186,0.2603,0.35,0.137,0.1085,0.2817,0.4276,0.5529,0.3858,0.1737,0.1538,D
0.1593,0.1712,0.25,0.0685,0.1035,0.2817,0.1519,0.5382,0.6535,0.1737,0.2154,C
0.1947,0.3493,0.12,0.1986,0.1452,0.2113,0.424,0.5015,0.4252,0.1677,0.1692,D
0.2655,0.2945,0.21,0.089,0.0985,0.0845,0.0777,0.4648,0.4252,0.1317,0.2,D
0.2655,0.2945,0.21,0.089,0.0985,0.0845,0.0777,0.4648,0.4252,0.1317,0.2,D
0.2832,0.3219,0.33,0.0753,0.1035,0.3239,0.4028,0.4941,0.4016,0.1257,0.1538,D
0.2389,0.3151,0.3,0.1027,0.1035,0.1972,0.1731,0.4941,0.5669,0.1557,0.2769,D
0.6106,0.1233,0.6,0.0753,0.0918,0.1549,0.0742,0.5896,0.2913,0.3832,0.2615,C
0.0708,0.4897,0.08,0.0205,0.0568,0.169,0.3074,0.1711,0.6535,0.3114,0.7077,B
0.2035,0.6644,0.06,0.0822,0.0818,0.1549,0.0883,0.3473,0.6063,0.0599,0.4615,E
0.4425,0.137,0.47,0.0342,0.0735,0.1127,0.0636,0.5051,0.378,0.2934,0.2923,B
0.3717,0.1712,0.48,0.0822,0.1419,0.5352,0.4912,0.5455,0.2362,0.4192,0.1385,D
0.1947,0.2603,0.11,0.0411,0.1052,0.2113,0.1519,0.395,0.4882,0.2754,0.1692,D
0.2124,0.2055,0.35,0.0479,0.1269,0.2113,0.1166,0.4427,0.4724,0.1317,0.1231,D
0.2124,0.2123,0.36,0.0479,0.1285,0.1831,0.1095,0.4464,0.4724,0.1377,0.1231,C
0.7257,0.1233,0.74,0.1164,0.1386,0.1127,0.0777,0.685,0.3622,0.2635,0.3692,B
0.7257,0.1233,0.74,0.1164,0.1386,0.1127,0.0777,0.685,0.3622,0.2635,0.3692,B
0.2832,0.3082,0.31,0.0616,0.0952,0.3521,0.4028,0.4537,0.4331,0.1198,0.1385,D
0.2832,0.2192,0.28,0.1233,0.1469,0.2394,0.3145,0.4794,0.378,0.2036,0.1538,D
0.5664,0.1233,0.58,0.0822,0.0701,0.0845,0.0459,0.5822,0.4488,0.3293,0.3231,B
0.4513,0.2808,0.6,0.0753,0.0451,0.0563,0.0459,0.4244,0.4409,0.3174,0.6154,C
0.3009,0.4144,0.24,0.1301,0.1185,0.1268,0.1979,0.4978,0.4803,0.1377,0.2462,C
0.6195,0.2192,0.64,0.0822,0.0785,0.0563,0.0318,0.5822,0.3701,0.2036,0.2769,C
0.3186,0.3082,0.26,0.089,0.0801,0.3803,0.2085,0.428,0.4409,0.0599,0.2615,D
0.2832,0.4212,0.08,0.1027,0.1336,0.1268,0.1237,0.5382,0.3937,0.2275,0.2154,C
0.2124,0.2534,0.49,0.3219,0.0801,0.3521,0.4064,0.5382,0.4724,0.2575,0.3231,D
0.3628,0.3459,0.16,0.0753,0.1486,0.169,0.1519,0.4501,0.315,0.1437,0.4,D
0.3097,0.4144,0.22,0.089,0.1002,0.1408,0.1237,0.4868,0.4882,0.1317,0.1077,D
0.2566,0.2534,0.19,0.0685,0.1068,0.1268,0.1343,0.4134,0.5118,0.1257,0.2,D
0.2832,0.2808,0.33,0.1027,0.1135,0.3239,0.4876,0.4758,0.4409,0.1617,0.1692,D
0.2832,0.1507,0.37,0.0753,0.1169,0.3239,0.1837,0.4648,0.4724,0.1557,0.1538,C
0.2478,0.2808,0.26,0.0753,0.1486,0.2113,0.2332,0.4134,0.3228,0.1437,0.1538,D
0.1947,0.3356,0.04,0.0411,0.0751,0.0563,0.0141,0.3803,0.5354,0.1617,0.1692,D
0.354,0.3596,0.25,0.0753,0.1185,0.0986,0.0777,0.5932,0.4252,0.1617,0.2462,C
0.3363,0.3527,0.36,0.0753,0.1285,0.1972,0.1731,0.5419,0.4488,0.1437,0.3077,E
0.2743,0.2123,0.25,0.1164,0.1018,0.3944,0.2014,0.4464,0.4961,0.1497,0.3231,C
0.3805,0.3219,0.5,0.0753,0.5426,0.3662,0.265,0.4648,0.2362,0.7665,0.1692,C
0.3894,0.4795,0.14,0.1164,0.1285,0.1127,0.0601,0.6116,0.5118,0.1796,0.2154,D
0.2743,0.2123,0.25,0.1164,0.1018,0.3944,0.2014,0.4464,0.4961,0.1497,0.3231,C
0.2035,0.274,0.25,0.1164,0.1152,0.1268,0.1095,0.4978,0.5669,0.1018,0.4,D
0.0531,0.2466,0.04,0.0479,0.0701,0.2535,0.3534,0.1931,0.6299,0.1737,0.5846,B
0.3009,0.1781,0.06,0.0616,0.1102,0.1549,0.1519,0.4537,0.4961,0.1138,0.2308,C
0.3451,0.1712,0.2,0.1301,0.1302,0.2394,0.1837,0.5822,0.4724,0.2216,0.1846,C
0.2035,0.274,0.25,0.1164,0.1152,0.1268,0.1095,0.4978,0.5669,0.1018,0.4,D
0.3186,0.6027,0.09,0.0959,0.0885,0.0845,0.1095,0.4978,0.4567,0.1317,0.0923,C
0.2301,0.3493,0,0.0685,0.1419,0.1831,0.1131,0.4905,0.4961,0.1497,0.0923,C
0.2301,0.3493,0,0.0685,0.1419,0.1831,0.1131,0.4905,0.4961,0.1497,0.0923,C
0.2301,0.3596,0,0.0685,0.1419,0.1972,0.1166,0.4905,0.4961,0.1497,0.1231,C
0.2301,0.3493,0,0.0685,0.1419,0.1831,0.1131,0.4905,0.4961,0.1497,0.0923,C
0.3186,0.6027,0.09,0.0959,0.0885,0.0845,0.1095,0.4978,0.4567,0.1317,0.0923,C
0.3805,0.3527,0.37,0.0548,0.419,0.0563,0.1979,0.5162,0.2047,0.4551,0.1385,D
0.6549,0.1781,0.56,0.0822,0.1352,0.0704,0.0636,0.674,0.315,0.2275,0.3846,C
0.2743,0.3151,0.1,0.0616,0.1503,0.3803,0.364,0.4097,0.2677,0.0958,0.2154,C
0.9204,0.0616,0.44,0.089,0.1052,0.1268,0.0636,0.7327,0.2598,0.3054,0.1231,B
0.9204,0.0616,0.44,0.089,0.1052,0.1268,0.0636,0.7327,0.2598,0.3054,0.1231,B
0.2389,0.3699,0,0.0753,0.1202,0.0704,0.0601,0.6043,0.685,0.3772,0.2308,C
0.2212,0.3836,0.07,0.0685,0.1052,0.2113,0.159,0.4978,0.5039,0.1138,0.1692,D
0.3186,0.3288,0.17,0.0959,0.1002,0.1408,0.2367,0.4574,0.3622,0.0719,0.1385,D
0.2743,0.2808,0.06,0.0548,0.1035,0.1127,0.1166,0.4464,0.4803,0.0898,0.2154,C
0.2389,0.3699,0,0.0753,0.1202,0.0704,0.0601,0.6043,0.685,0.3772,0.2308,C
0.5487,0.137,0.44,0.0479,0.0851,0.2113,0.1095,0.6189,0.378,0.2695,0.2462,C
0.2212,0.3288,0,0.0616,0.1035,0.2113,0.0989,0.5235,0.5748,0.2216,0.2308,C
0.5752,0.1575,0.48,0.1507,0.1302,0.0563,0.053,0.6263,0.3386,0.1198,0.3231,D
0.2743,0.4486,0.42,0.0685,0.1336,0.0986,0.2827,0.428,0.3858,0.1557,0.1692,D
0.2212,0.3288,0,0.0616,0.1035,0.2113,0.0989,0.5235,0.5748,0.2216,0.2308,C
0.3009,0.3082,0.23,0.1575,0.1018,0.2254,0.3993,0.4905,0.4094,0.1437,0.1385,D
